,Ensemble_adv,Ensemble_true,True,adv_model0,adv_model1,adv_model2,adv_model3,adv_model4,adv_model5,adv_model6,adv_model7,adv_model8,adv_model9,model0,model1,model2,model3,model4,model5,model6,model7,model8,model9
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,3,8,8,3,8,3,3,3,3,3,3,3,3,8,8,3,8,8,8,3,8,8,8
35,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,9,9,4,4,9,4,4,9
36,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
37,3,5,5,3,3,3,3,3,3,3,3,3,3,5,5,3,3,3,3,5,5,3,3
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,3,1,1,3,3,8,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1
40,7,1,1,7,1,8,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1
41,3,1,1,3,3,8,8,5,3,3,5,3,3,1,1,1,1,1,1,1,1,1,1
42,5,0,0,5,5,5,5,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0
43,3,9,9,7,3,7,7,3,3,3,3,3,3,9,4,4,9,4,9,4,9,4,9
44,5,0,0,5,5,3,0,5,3,5,5,5,3,0,0,0,0,0,0,0,0,0,0
45,2,3,3,2,2,2,2,2,8,2,6,8,8,2,3,8,3,2,3,4,5,3,3
46,8,1,1,8,1,8,1,8,1,8,8,8,1,1,1,1,1,1,1,1,1,1,1
47,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
48,8,4,4,8,8,8,7,8,8,7,8,8,8,4,4,4,4,4,4,4,4,4,4
49,2,2,2,2,2,2,3,2,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2
50,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
51,0,6,6,2,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6
52,3,1,1,3,3,8,8,3,3,3,3,8,8,1,1,1,1,1,1,1,1,1,1
53,3,1,1,3,5,5,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1
54,3,1,1,3,2,2,1,3,2,3,3,8,3,1,1,1,1,1,1,1,1,1,1
55,3,3,3,3,3,3,5,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
56,5,9,9,5,5,4,5,8,4,5,5,4,4,9,9,9,9,9,9,9,9,9,9
57,3,5,5,5,5,3,3,5,3,5,3,3,3,5,5,5,5,5,5,5,5,5,5
58,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
59,4,9,9,5,4,9,5,5,4,9,4,4,4,9,9,9,9,9,9,9,9,9,9
60,7,4,4,7,0,2,7,7,7,0,0,8,0,4,4,4,4,4,4,4,4,4,4
61,8,5,5,3,8,8,8,8,8,7,8,8,8,5,5,5,5,5,5,5,5,5,5
62,4,9,9,3,4,4,4,4,4,4,4,9,4,9,9,9,9,9,9,9,9,9,9
63,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
64,4,9,9,9,4,4,4,9,4,9,4,9,4,9,9,9,9,9,9,9,9,9,9
65,9,0,0,9,9,8,9,8,4,9,8,8,0,0,0,0,0,0,0,0,0,0,0
66,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
67,8,5,6,6,6,1,1,8,6,8,8,8,1,5,5,5,5,5,5,5,5,5,5
68,7,5,5,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5
69,3,5,5,3,3,3,3,3,3,3,3,3,0,5,5,5,5,5,5,5,5,5,5
70,9,7,7,9,9,9,9,9,9,9,9,9,9,7,7,7,7,7,7,7,7,7,7
71,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2
72,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
73,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
74,3,1,1,5,3,0,3,3,8,3,3,8,3,1,1,1,1,1,1,1,1,1,1
75,3,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2
76,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
77,2,4,4,2,2,2,2,2,2,2,2,8,2,4,4,4,4,4,4,4,4,4,4
78,3,1,1,3,3,8,3,3,3,3,3,8,3,1,1,1,1,1,1,1,1,1,1
79,3,7,7,5,2,5,5,3,3,3,3,3,0,7,7,7,7,7,7,7,7,7,7
80,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
81,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
82,8,8,8,6,8,6,2,2,2,2,5,8,2,8,8,8,8,8,8,8,8,8,8
83,8,7,8,8,8,8,8,8,8,8,8,8,9,7,7,7,7,7,7,7,7,7,7
84,3,7,7,3,3,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7
85,7,9,9,7,7,2,7,7,7,7,7,7,7,9,9,9,9,9,9,9,9,9,9
86,2,2,2,3,2,2,3,2,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2
87,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
88,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
89,3,1,1,3,3,3,1,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1
90,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
91,3,8,9,3,3,3,3,3,3,3,3,3,8,9,8,8,8,8,8,8,3,8,8
92,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
93,4,7,7,4,4,4,4,4,4,4,4,4,4,7,7,4,7,9,7,4,7,7,7
94,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
95,3,5,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,3,5,5,5
96,2,0,0,2,2,2,2,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0
97,4,6,4,4,4,4,4,4,6,4,4,4,4,2,6,6,6,6,6,6,6,4,6
98,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
99,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
100,9,4,4,9,9,9,9,9,9,9,9,9,9,9,4,4,4,4,4,4,4,4,4
101,8,1,1,5,5,8,8,5,8,5,8,8,8,1,1,1,1,1,1,1,1,1,1
102,4,9,9,9,4,4,4,4,4,4,4,4,4,9,9,9,9,9,9,9,9,9,9
103,3,5,5,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5
104,3,7,7,3,2,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7
105,3,7,7,3,3,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7
106,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
107,8,1,8,8,8,8,8,8,8,3,8,8,8,8,1,1,8,1,8,1,1,1,1
108,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
109,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,5,8,8,5,5,8,5,5,8,5,5,8,8,8,8,8,8,8,8,8,8,8,8
111,3,5,5,5,3,5,5,3,3,5,3,3,0,5,5,5,5,5,5,5,5,5,5
112,7,7,7,3,7,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
113,7,7,7,7,7,3,5,3,7,7,7,8,7,7,7,7,7,7,7,7,7,7,7
114,3,9,9,3,3,8,5,3,3,3,3,8,1,9,9,8,9,9,9,9,9,9,9
115,1,1,1,3,1,1,1,3,1,3,3,8,1,1,1,1,1,1,1,1,1,1,1
116,8,8,8,8,8,8,6,8,8,8,8,8,6,8,8,8,8,8,8,8,8,8,8
117,3,1,1,3,1,8,1,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1
118,8,8,8,8,8,8,4,8,8,8,8,8,4,8,8,8,8,8,8,8,8,8,8
119,2,0,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,5,3,3,5,5,5,5,5,3,3,5,5,3,3,3,3,3,3,3,3,3,3,3
121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,3,1,1,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1
123,9,9,9,9,9,9,9,9,9,9,7,7,9,9,9,9,9,9,9,9,9,9,9
124,7,9,9,7,7,7,7,7,7,7,7,7,7,9,9,9,9,9,9,9,9,9,9
125,9,4,4,4,9,9,9,9,4,9,4,9,9,4,4,4,4,4,4,4,4,4,4
126,3,1,1,3,3,8,1,3,1,3,8,8,1,1,1,1,1,1,1,1,1,1,1
127,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
128,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
129,3,1,1,3,3,3,1,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1
130,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
131,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
132,2,7,7,2,2,2,2,2,2,2,2,8,2,7,7,7,7,7,7,7,7,7,7
133,5,5,5,5,2,5,5,2,8,7,8,7,5,5,5,5,5,5,5,5,5,5,5
134,4,9,9,4,4,4,4,4,4,4,4,4,4,9,9,9,9,9,9,9,9,9,9
135,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
136,2,6,6,2,2,6,5,5,2,2,5,5,2,6,6,6,6,6,6,6,6,6,6
137,4,4,4,3,4,3,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4
138,8,1,1,3,5,8,1,8,8,3,8,8,1,1,1,1,1,1,1,1,1,1,1
139,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
140,5,4,8,5,5,8,5,5,8,5,8,5,5,4,4,4,4,4,4,4,4,4,4
141,3,2,2,3,3,0,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2
142,7,9,9,7,7,2,7,7,7,7,7,7,7,9,9,9,9,9,9,9,9,9,9
143,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
144,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,9,4,4,9,9,9,9,9,9,3,3,3,9,4,4,4,4,4,4,4,4,4,4
146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,0,0,0,5,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2
149,8,8,8,8,2,8,8,3,8,8,3,8,8,8,8,8,8,3,8,8,8,8,8
150,4,6,4,6,4,4,4,4,6,4,4,4,4,6,6,6,6,6,6,4,6,4,4
151,4,7,7,3,4,4,6,4,4,4,2,4,4,3,7,7,7,7,7,7,7,7,7
152,3,1,1,3,2,8,1,3,1,3,3,8,1,1,1,1,1,1,1,1,1,1,1
153,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
154,4,4,4,4,4,4,4,4,4,4,4,4,4,9,9,4,9,4,4,9,9,4,4
155,5,0,0,5,5,5,5,0,0,5,0,5,2,0,0,0,0,0,0,0,0,0,0
156,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
157,4,7,7,8,4,8,4,4,4,4,4,4,4,9,9,9,7,9,9,7,7,7,7
158,8,4,4,7,8,8,8,8,8,7,8,8,8,4,4,4,4,4,4,4,4,4,4
159,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
160,3,3,3,8,8,8,8,8,3,3,3,8,3,3,3,3,3,3,3,3,3,3,3
161,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,6,0,0,0,6,6,6,6,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0
163,3,5,3,3,3,3,3,3,3,3,3,3,3,5,3,5,3,5,5,3,5,5,5
164,3,1,1,3,1,8,1,3,1,3,3,8,1,1,1,1,1,1,1,1,1,1,1
165,7,9,9,7,7,9,7,7,7,7,7,7,7,9,9,9,9,9,9,9,9,9,9
166,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
167,4,5,5,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,5,5,5,5
168,2,3,2,6,2,2,6,2,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3
169,6,5,5,2,5,6,6,6,2,6,6,5,3,5,5,5,5,5,5,5,5,5,5
170,7,7,9,7,7,7,7,7,7,7,7,7,7,7,7,1,7,1,1,1,7,7,7
171,8,7,2,8,8,8,8,8,8,8,3,8,8,7,7,7,7,7,7,7,7,7,7
172,4,9,9,5,4,4,5,5,4,3,4,9,4,9,9,9,9,9,9,9,9,9,9
173,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
174,2,0,0,2,2,8,3,2,8,2,3,8,8,5,0,0,0,0,0,0,0,0,5
175,6,4,4,6,2,6,8,8,6,6,6,8,6,4,4,6,4,4,4,6,4,4,9
176,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,8,7,7,8,8,8,8,8,8,8,8,8,1,7,7,7,7,7,7,7,7,7,7
179,1,1,1,3,1,8,1,3,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1
180,3,1,1,3,3,3,1,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1
181,3,2,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
182,3,1,1,3,1,8,1,3,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1
183,8,5,5,8,2,8,8,3,8,8,5,8,8,5,5,5,5,5,5,5,5,5,5
184,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
185,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
186,4,9,9,2,4,4,4,4,4,4,4,4,4,9,9,9,9,9,9,9,9,9,9
187,3,7,7,3,3,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7
188,8,8,8,5,8,8,8,5,8,3,5,8,8,8,8,8,8,8,8,8,8,8,8
189,6,6,6,2,6,6,5,6,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6
190,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
191,2,4,6,3,2,2,2,2,2,2,2,3,2,4,4,4,4,4,4,4,4,4,6
192,3,1,1,3,3,8,1,3,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1
193,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
194,5,5,8,5,5,8,5,5,5,5,5,8,5,8,5,8,5,5,5,5,5,8,8
195,3,1,1,3,3,8,1,3,1,3,3,3,3,1,1,1,1,1,1,1,1,1,1
196,8,0,0,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0
197,5,5,5,5,5,8,5,5,4,5,8,8,5,5,5,5,5,5,5,5,5,5,5
198,8,1,1,3,2,1,1,3,1,3,8,8,1,1,1,1,1,1,1,1,1,1,1
199,3,7,3,3,3,8,9,8,3,3,3,9,9,7,9,7,7,7,7,7,7,7,7
200,3,1,1,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1
201,5,5,5,5,5,8,8,5,5,5,5,5,8,5,5,5,5,5,5,5,5,5,5
202,5,0,5,5,5,3,5,5,5,5,5,5,5,0,0,0,0,0,0,5,5,0,5
203,6,6,6,8,6,4,6,6,6,8,6,6,6,6,6,6,6,6,6,6,6,6,6
204,8,1,1,2,8,8,8,8,8,2,8,8,8,1,1,1,1,1,1,1,1,1,1
205,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
206,3,5,5,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5
207,3,1,1,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1
208,7,7,7,3,7,7,7,7,7,7,3,7,7,7,9,9,7,7,9,7,7,7,7
209,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
210,4,4,4,3,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4
211,4,6,6,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6
212,3,7,2,2,2,3,3,3,2,3,3,2,2,7,7,7,7,7,7,7,7,2,7
213,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
214,5,5,5,5,3,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
215,6,0,0,0,6,6,6,5,6,6,6,8,6,0,0,0,0,0,0,0,0,0,0
216,8,6,6,3,8,8,8,8,8,8,8,8,8,6,6,6,6,6,6,6,6,6,6
217,3,5,5,3,3,3,3,3,3,3,3,3,3,5,5,5,3,5,5,5,5,5,5
218,8,6,6,8,6,8,8,8,8,8,6,8,8,6,6,6,6,6,6,6,6,6,6
219,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
220,3,7,7,3,3,8,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7
221,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
222,3,0,0,5,2,3,2,2,3,3,2,3,3,0,0,0,0,0,0,0,0,0,0
223,8,8,8,5,8,8,8,8,8,5,8,8,8,8,8,8,8,8,8,8,8,8,8
224,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
225,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
226,9,4,4,3,3,9,9,3,3,9,3,9,9,9,4,4,4,4,4,4,4,4,4
227,3,1,1,3,3,3,1,3,3,3,3,8,3,1,1,1,1,1,1,1,1,1,1
228,3,1,1,3,3,3,1,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1
229,4,4,4,4,4,4,9,9,4,4,4,9,4,4,4,4,4,4,4,4,4,4,4
230,2,0,0,2,2,2,2,0,2,5,0,8,2,0,0,0,0,0,0,0,0,0,0
231,3,7,3,3,3,3,3,3,3,3,3,3,3,7,7,7,7,7,7,3,7,7,3
232,5,3,3,5,5,8,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3
233,3,7,7,3,3,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7
234,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
235,3,1,1,5,3,3,1,3,3,3,3,8,1,1,1,1,1,1,1,1,1,1,1
236,3,6,6,5,5,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6
237,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
238,8,1,1,2,8,8,8,3,8,3,3,8,8,1,1,1,1,1,1,1,1,1,1
239,4,9,9,4,4,4,4,4,4,4,4,4,4,9,9,9,9,9,9,9,9,9,9
240,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
241,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
242,4,6,6,4,6,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6
243,3,1,1,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1
244,0,9,9,0,7,0,0,0,0,7,0,0,7,9,9,9,9,9,9,9,9,9,9
245,5,5,5,5,5,0,5,3,0,5,8,5,5,5,5,5,5,5,5,5,5,5,5
246,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
247,5,5,5,5,5,8,3,5,5,5,5,5,8,5,5,5,5,5,5,5,5,5,5
248,4,4,4,5,4,4,4,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4
249,2,4,4,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4
250,0,2,2,0,0,0,0,0,0,2,0,0,0,2,2,2,2,2,2,2,2,2,2
251,8,8,8,8,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
252,3,3,3,2,5,2,3,2,2,3,2,3,5,3,3,3,3,3,3,3,3,3,3
253,7,9,8,7,7,7,7,7,7,7,8,7,7,9,9,9,9,9,9,9,9,9,9
254,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
255,3,4,4,3,3,9,3,9,3,3,3,3,9,4,4,4,4,4,4,4,4,4,4
256,6,5,5,8,6,6,8,8,6,5,8,6,5,0,5,0,5,5,0,5,5,5,5
257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,3,3,3,3,2,2,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3
259,8,1,1,5,5,8,1,8,8,3,8,8,8,1,1,1,1,1,1,1,1,1,1
260,7,7,7,9,5,9,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
261,8,7,7,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7
262,3,5,5,3,3,3,3,3,3,3,3,3,3,5,5,3,5,5,5,3,5,3,3
263,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
264,1,9,9,3,1,4,1,8,1,4,6,8,1,9,9,9,9,9,9,9,9,9,9
265,7,7,7,9,9,9,7,5,7,5,5,7,7,7,7,7,7,7,7,7,7,7,7
266,1,1,1,3,1,8,1,8,1,3,8,8,1,1,1,1,1,1,1,1,1,1,1
267,4,9,9,4,4,4,4,4,4,4,4,4,4,9,9,9,9,9,9,9,9,9,9
268,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
269,3,1,1,3,3,5,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1
270,0,4,4,5,8,5,5,5,0,5,0,0,0,4,4,4,4,4,4,4,4,4,4
271,0,2,2,0,5,0,0,0,0,3,5,0,0,2,2,2,2,2,2,2,2,0,2
272,7,9,9,7,7,7,7,7,7,7,7,7,7,9,9,9,9,9,9,9,9,9,9
273,2,2,2,2,2,2,3,2,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2
274,0,0,0,0,0,6,2,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0
275,4,4,4,2,4,2,9,2,2,2,8,7,4,4,4,4,4,4,4,4,4,4,4
276,4,9,9,9,9,4,9,4,4,4,4,4,4,9,9,9,9,9,9,9,9,9,9
277,3,1,1,3,5,5,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1
278,2,4,4,5,2,0,5,2,2,6,6,6,6,4,4,4,4,4,4,4,4,4,4
279,8,8,8,2,8,2,8,3,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8
280,8,1,1,3,8,8,1,3,8,3,8,8,1,1,1,1,1,1,1,1,1,1,1
281,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
282,4,4,4,5,4,4,4,5,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4
283,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5
284,4,9,9,9,4,4,4,8,4,4,4,4,4,9,9,9,9,9,9,9,9,9,9
285,8,7,8,8,8,8,8,8,8,8,8,8,1,7,7,8,7,7,7,7,7,7,7
286,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
